pl,mig
Dzisiaj mam rozmowę z prezesem.,Ja dziś prezes rozmowa
Czy ten Pan jest marszałkiem?,Ten Pan marszałek
Jakie są obowiązki premiera?,Premier praca jak wygląda
Gdzie mieszka wójt gminy?,Wójt gmina mieszkać gdzie
Gdzie pracuje sejm i senat?,Sejm senat praca gdzie
Ja nie palę papierosów.,Ja papierosy nie palę
Czy ty masz narkotyki w domu?,Ty narkotyki dom masz
Policja skierowała Pana na badanie krwi.,Ty badanie krwi policja skierowanie
Policja skierowała Pana na badanie krwi.,Pan badanie krwi policja skierowanie
Na tej ulicy jest fotoradar.,Ta ulica fotoradar
Ma Pan 2 promile alkoholu we krwi.,Ty krew promile mieć
Ma Pani 2 promile alkoholu we krwi.,Ty krew promile mieć
Ma Pan 2 promile alkoholu we krwi.,Pan krew promile mieć
Ma Pani 2 promile alkoholu we krwi.,Pani krew promile mieć
Lekarz jest na dyżurze.,Lekarz dyżur
Proszę dmuchać w alkomat.,Alkomat dmuchać
Musimy pobrać krew.,Krew pobranie będzie
Zbada Pana lekarz.,Lekarz badanie będzie
Czy ten Pan był wysoki?,Pan wysoki
Pani jest młoda.,Ty młoda jest
Czy Pani umie mówić?,Ty mówić umieć
Czy Pan umie mówić?,Ty mówić umieć
Czy Pani umie migać?,Ty migać umieć
Czy Pan umie migać?,Ty migać umieć
Czy Pani rozumie co ja migam?,Ja migam ty rozumeć
Czy Pan rozumie co ja migam?,Ja migam ty rozumeć
Czy Pani rozumie co ja migam?,Ja migam Pani rozumeć
Czy Pan rozumie co ja migam?,Ja migam Pan rozumeć
Ja mogę mówić i migać.,Ja mówić migać można
Dobry wieczór czy możemy porozmawiać,. dobry wieczór ja rozmawiać można
Ja mieszkam w mieście.,Ja mieszkać miasto
Ja pracuję na wsi.,Ja praca wieś
Jakiej Pani jest narodowości?,Ty polska obywatelstwo jakie
Jakiej Pani jest narodowości?,Pani polska obywatelstwo jakie
Gdzie państwo mieszkacie?,Państwo mieszkać gdzie
W moim motorze zepsuł się silnik.,Mój motor silnik zepsuty
Czy masz kamizelkę odblaskową?,Ty kamizelka ratunkowa masz
Czy ma Pani gaśnicę?,Ty gaśnica mieć
Czy ma Pan gaśnicę?,Ty gaśnica mieć
Czy ma Pani gaśnicę?,Ty Pani gaśnica mieć
Czy ma Pan gaśnicę?,Ty Pan gaśnica mieć
Te opony są łyse.,Te opony łyse
Tutaj nie wolno wyprzedzać.,Tu wyprzedzać nie wolno
Samochód wjechał na słup.,Samochód słup uderzyć było
Proszę pokazać prawo jazdy.,Ty prawo jazdy dać
Idę na kurs prawa jazdy.,Ja prawo jazdy kurs
Wszystkie osoby głuche jechały w tym samochodzie.,Samochód głuchy wszyscy jechać
W moim domu była awantura.,Mój dom awantura było
Pan musi zapłacić mandat 100 zł.,Ty mandat 100 zł płacić
Pan musi zapłacić mandat 100 zł.,Pan mandat 100 zł płacić
Czy masz skierowanie?,Ty skierowanie masz
Czy tu można pić alkohol?,Alkohol pić tu można
Ten Pan miał kłopoty z prawem.,Ten prawo kłopot było
Ten Pan miał kłopoty z prawem.,Pan prawo kłopot było
Ten Pan miał kłopoty z prawem.,Ten policja kłopot było
Ten Pan miał kłopoty z prawem.,Pan policja kłopot było
Ten Pan jest agresywny.,Pan agresja
Czy ty jesteś trzeźwy?,Ty trzeźwy
Jak będziesz agresywny to założymy ci kajdanki.,Ty agresja kajdanki będzie
Dopalacze i alkohol są niebezpieczne.,Dopalacze alkohol niebezpieczne
Ty masz problemy z alkoholem.,Ty alkohol problem masz
W środę ja nie pracuję,Środa ja praca nie będzie
W środę ja nie pracuję,Środa ja praca nie pracuje
Zapomniałam o kierunkowskazie.,Ja kierunkowskaz zapominać
Pamiętaj włączyć światła.,Ty światła włączyć pamiętać
Proszę pokazać trójkąt ostrzegawczy.,Ty trójkąt kąt ostrzegawczy dać
Nie wolno przejeżdżać na czerwonym świetle.,Czerwone światło jechać nie można
Światła są zepsute.,Światło zepsute
Trzeba włączyć światła.,Światła włączyć
Proszę przeczytać protokół.,Ty protokół czytać
To jest niebieska karta.,To niebieska karta
Proszę pokazać dowód rejestracyjny.,Ty dowód rejestracyjny pokazać
Kto Panią uderzył?,Pani uderzyć kto
Kto Pana uderzył?,Pan uderzyć kto
Proszę wsiąść do radiowozu.,Ty radiowóz wsiadać
Proszę otworzyć bagażnik.,Bagażnik otwierać
Można zamknąć bagażnik.,Bagażnik można zamykać
Skradziono mi torebkę.,Moja torebka kradzież było
Proszę wsiąść do samochodu.,Ty samochód wsiadać
Na drodze jest duży ruch.,Droga samochód dużo
Kiedy jest święto policji?,Policja święto kiedy termin
Jezdnie są śliskie.,Droga ślisko
Jutro będzie ładna pogoda.,Jutro pogoda ładna
Jaki masz termin sprawy na policji.,Policja sprawa termin jaki
Wypadek był tydzień temu.,Wypadek tydzień temu
Jaki masz termin egzaminu na prawo jazdy?,Ty prawo jazdy egzamin kiedy
Trzeba przestrzegać przepisów prawa.,Prawo przepisy przestrzegać trzeba
Pan otrzymał naganę w pracy.,Ty praca nagana było
Czy znasz przepisy ustawy?,Ty ustawa przepisy wiedzieć
Policja użyła kajdanek.,Policja kajdanki było
Czy hamulec i sprzęgło są dobre?,Hamulec sprzęgło dobre
Czy hamulec i sprzęgło są sprawne?,Hamulec sprzęgło dobre
Mój samochód jeździ na gaz.,Mój samochód gaz
Proszę używać pasów bezpieczeństwa.,Ty pasy bezpieczeństwa
Ja mam 15 punktów karnych.,Ja punkty karne 15
Ja mam 4 punktów karnych.,Ja punkty karne 4
Ja mam 20 punktów karnych.,Ja punkty karne 20
Czy zmieniły się przepisy drogowe?,Przepisy jazda zmiana było
Ile można mieć punktów karnych?,Punkty karne ile
Ile trzeba zapłacić za paliwo?,Paliwo płacić ile
Policja kontrolowała kierowców.,Policja kierowcy kontrola było
Ja uczę się przepisów systematycznie.,Ja przepisy nauka systematycznie
Czy ma Pani dokumenty?,Pani dokumenty mieć
Czy ma Pan dokumenty?,Pan dokumenty mieć
Proszę podpisać oświadczenie.,Ty oświadczenie podpisać
Proszę podpisać oświadczenie.,Pani oświadczenie podpisać
Proszę podpisać oświadczenie.,Pan oświadczenie podpisać
Proszę podpisać oświadczenie.,Ty oświadczenie podpis
Proszę podpisać oświadczenie.,Pani oświadczenie podpis
Proszę podpisać oświadczenie.,Pan oświadczenie podpis
Proszę napisać datę urodzenia.,Ty data urodzenia pisać
Proszę napisać datę urodzenia.,Pani data urodzenia pisać
Proszę napisać datę urodzenia.,Pan data urodzenia pisać
Proszę odpowiedzieć na moje pytanie.,Ty odpowiedź do mnie
Proszę odpowiedzieć na moje pytanie.,Pani odpowiedź do mnie
Proszę odpowiedzieć na moje pytanie.,Pan odpowiedź do mnie
Gdzie Pani pracuje?,Ty pracować gdzie
Gdzie Pan pracuje?,Ty pracować gdzie
Gdzie Pani pracuje?,Ty praca gdzie
Gdzie Pan pracuje?,Ty praca gdzie
Gdzie Pani pracuje?,Pani pracować gdzie
Gdzie Pan pracuje?,Pan pracować gdzie
Gdzie Pan pracuje?,Pan praca gdzie
Czy Pani pracuje?,Pani praca mieć
Czy Pan pracuje?,Pan praca mieć
Ja pracuję w zakładzie.,Ja praca zakład
Ile Pani zarabia?,Ty zarabiać ile
Ile Pan zarabia?,Ty zarabiać ile
Ile Pani zarabia?,Pani zarabiać ile
Ile Pan zarabia?,Pan zarabiać ile
Ja nie mam pieniędzy.,Ja pieniądze nie mieć
Ja jestem bezrobotny.,Ja praca nie mieć
Jaki Pani ma stały dochód?,Ty dochód ile
Jaki Pan ma stały dochód?,Ty dochód ile
Jaki Pani ma stały dochód?,Pani dochód ile
Jaki Pan ma stały dochód?,Pan dochód ile
Jaki Pani ma zawód?,Ty zawód jaki
Jaki Pan ma zawód?,Ty zawód jaki
Jaki Pani ma zawód?,Pani zawód jaki
Jaki Pan ma zawód?,Pan zawód jaki
Czy można otworzyć okno?,Okno otworzyć można
Tu nie wolno siedzieć.,Tu siadać nie wolno
Tu nie wolno siadać.,Tu siadać nie wolno
Proszę się zatrzymać.,Ty stop
Proszę wstać.,Ty wstać
Proszę usiąść.,Ty siadać
Czy to krzesło jest wolne?,To krzesło można siadać
Ja wynajmuję mieszkanie.,Ja mieszkanie wynajmować
Proszę zamknąć drzwi.,Drzwi zamykać
Nie wolno otwierać okien.,Okno otworzyć nie wolno
Czy Pani jest głucha?,Ty głuchy
Czy Pan jest głuchy?,Ty głuchy
Czy Pani jest głuchoniema?,Ty głuchy
Czy Pan jest głuchoniemy?,Ty głuchy
Czy Pani jest słysząca?,Ty słyszeć
Czy Pan jest słyszący?,Ty słyszeć
Czy Pani ma orzeczenie o niepełnosprawności?,Ty orzeczenie niepełnosprawny mieć
Czy Pan ma orzeczenie o niepełnosprawności?,Ty orzeczenie niepełnosprawny mieć
Czy Pani ma orzeczenie o niepełnosprawności?,Pani orzeczenie niepełnosprawny mieć
Czy Pan ma orzeczenie o niepełnosprawności?,Pan orzeczenie niepełnosprawny mieć
Czy Pani umie pisać?,Ty pisać umieć
Czy Pan umie pisać?,Ty pisać umieć
Czy Pani umie czytać?,Ty czytać umieć
Czy Pan umie czytać?,Ty czytać umieć
Czy Pan otrzymał wezwanie?,Ty wezwanie masz otrzymać
Czy Pani otrzymała wezwanie?,Ty wezwanie masz otrzymać
Czy Pan otrzymał wezwanie?,Pan wezwanie masz otrzymać
Czy Pani przeczytał wezwanie?,Ty wezwanie czytać było
Czy Pan przeczytał wezwanie?,Ty wezwanie czytać było
Czy Pani przeczytał wezwanie?,Pani wezwanie czytać było
Czy Pan przeczytał wezwanie?,Pan wezwanie czytać było
Ja nie mam orzeczenia o niepełnosprawności.,Ja orzeczenie niepełnosprawny nie mieć
Czy ma Pani dowód osobisty?,Ty dowód mieć
Czy ma Pan dowód osobisty?,Ty dowód mieć
Czy ma Pani paszport?,Ty paszport mieć
Czy ma Pan paszport?,Ty paszport mieć
Czy ma Pani paszport?,Pani paszport mieć
Czy ma Pan paszport?,Pan paszport mieć
Ja mam legitymację.,Ja legitymacja mieć
Ja mam legitymację.,Ja mieć legitymacja
Jaki ma Pani numer dowodu osobistego?,Ty dowód numer jaki
Jaki ma Pan numer dowodu osobistego?,Ty dowód numer jaki
Jaki ma Pani numer domu?,Ty dom numer jaki
Jaki ma Pan numer domu?,Ty dom numer jaki
Lubię miasto rzeszów.,Ja rzeszów lubieć
Dzień dobry.,Dzień dobry
Dzień dobry.,Witać
Chcę złożyć wniosek o wydanie dowodu osobistego.,Ja wniosek dowód1 mieć
Chcę złożyć wniosek o wydanie dowodu osobistego.,Ja wniosek dowód2 mieć
Czy mogę odebrać dowód?,Czy już nowy dowód1
Czy mogę odebrać dowód?,Czy już nowy dowód2
Czy mogę odebrać dowód?,Być mój nowy dowód1
Czy mogę odebrać dowód?,Być mój nowy dowód2
Chcę zgłosić utratę dowodu osobistego.,Ja dowód1 zgubić
Chcę zgłosić utratę dowodu osobistego.,Ja dowód2 zgubić
Chcę złożyć wniosek o wydanie dowodu osobistego dla mojego dziecka.,Ja dowód1 moje dziecko chcieć
Chcę złożyć wniosek o wydanie dowodu osobistego dla mojego dziecka.,Ja dowód2 moje dziecko chcieć
Chcę złożyć wniosek o wydanie dowodu osobistego dla mojej żony.,Ja dowód1 moja żona chcieć
Chcę złożyć wniosek o wydanie dowodu osobistego dla mojej żony.,Ja dowód2 moja żona chcieć
Zmieniłem adres.,Dom przenieść się
Zmieniłem adres.,Mieszkanie zmiana1
Zmieniłem adres.,Mieszkanie zmiana2
Zmieniłem adres.,Adres1 zmiana1
Zmieniłem adres.,Adres2 zmiana1
Zmieniłem adres.,Adres1 zmiana2
Zmieniłem adres.,Adres2 zmiana2
Upłynął termin ważności dowodu.,Dowód1 nieważny
Upłynął termin ważności dowodu.,Dowód2 nieważny
Upłynął termin ważności dowodu.,Dowód1 koniec ważny
Upłynął termin ważności dowodu.,Dowód2 koniec ważny
Z powodu zmiany wizerunku twarzy.,Z powód zmiana wygląd
Zawarłem(am) związek małżeński.,Ja małżeństwo
Zmieniłem(am) nazwisko.,Ja zmiana1 nazwisko
Zmieniłem(am) nazwisko.,Ja zmiana2 nazwisko
Powróciłam do nazwiska rodowego.,Ja przyjmować nazwisko panna
Powróciłam do nazwiska rodowego.,Ja przyjmować nazwisko kawaler
Nastąpiła zmiana imienia ojca.,Ojcieć imię zmiana1
Nastąpiła zmiana imienia ojca.,Ojcieć imię zmiana2
Nastąpiła zmiana imienia matki.,Matka imię zmiana1
Nastąpiła zmiana imienia matki.,Matka imię zmiana2
Tak.,Tak
Dlaczego?,Dlaczego
Nie.,Nie
Dziękuję.,Dziękować1
Dziękuję.,Dziękować2
Nie umiem wypełnić wniosku.,Ja nie wiedzieć wypełnić
Proszę.,Prosić
Nie mam dowodu.,Niemieć dowód1
Nie mam dowodu.,Niemieć dowód2
Nie zabrałem ze sobą dowodu.,Niemieć dowód1
Nie zabrałem ze sobą dowodu.,Niemieć dowód2
To mój pierwszy dowód.,Ja pierwszy raz dowód1 robić
To mój pierwszy dowód.,Ja pierwszy raz dowód2 robić
Nie mam zdjęcia.,Niemieć zdjęcie
Nie mam zdjęcia.,Zdjęcie niemieć
Czy można zgłosić się wcześniej?,Dowód1 odbiór wcześniej można
Czy można zgłosić się wcześniej?,Dowód2 odbiór wcześniej można
Czy można przyśpieszyć produkcję dowodu?,Dowód1 wcześniej gotowy można
Czy można przyśpieszyć produkcję dowodu?,Dowód2 wcześniej gotowy można
Ile płacę za wyrobienie dowodu?,Nowy dowód1 płacić ile
Ile płacę za wyrobienie dowodu?,Nowy dowód2 płacić ile
Nie umiem wypełnić formularza.,Formularz wypełnić nieumieć
Mam uszkodzony dowód.,Mój dowód1 pękąć
Mam uszkodzony dowód.,Mój dowód2 pękąć
Mam uszkodzony dowód.,Mój dowód1 psuć
Mam uszkodzony dowód.,Mój dowód2 psuć
Mam uszkodzony dowód.,Mój dowód1 zniszczyć
Mam uszkodzony dowód.,Mój dowód2 zniszczyć
Do widzenia.,Do widzenia
Chcę złożyć wniosek o wydanie dowodu osobistego.,Chcieć nowy dowód1
Chcę złożyć wniosek o wydanie dowodu osobistego.,Chcieć nowy dowód2
Chcę złożyć wniosek o wydanie dowodu osobistego.,Nowy dowód1 chcieć
Chcę złożyć wniosek o wydanie dowodu osobistego.,Nowy dowód2 chcieć
Czy mogę odebrać dowód?,Dowód1 gotowy
Czy mogę odebrać dowód?,Dowód2 gotowy
Nie umiem wypełnić wniosku.,Papier wniosek wypełnić jak
Nie umiem wypełnić wniosku.,Ja nie rozumieć co to być
Nie umiem wypełnić wniosku.,Ja nie rozumieć co pisac
Nie umiem wypełnić wniosku.,Nie rozumieć to
Nie umiem wypełnić wniosku.,Niewiedzieć to
Nie umiem wypełnić wniosku.,Nie rozumieć - pomysł
Nie umiem wypełnić wniosku.,Co pisać mieć
Nie umiem wypełnić wniosku.,Jak pisać mieć
Proszę mi pomóc.,Prosić pomagać ja
Proszę mi pomóc.,Ja niewiedzieć prosić pomagać ja pusto
Ile płacę za wyrobienie dowodu?,Pieniądze ile nowy dowód1
Ile płacę za wyrobienie dowodu?,Pieniądze ile nowy dowód2
Ile płacę za wyrobienie dowodu?,Ile koszt nowy dowód1
Ile płacę za wyrobienie dowodu?,Ile koszt nowy dowód2
Ile płacę za wyrobienie dowodu?,Ile płacić dowód1
Ile płacę za wyrobienie dowodu?,Ile płacić dowód2
"Nie jestem zameldowany w rzeszowie, czy mogę tutaj złożyć wniosek na dowód osobisty.",Ja rzeszów zameldowanie niemieć wniosek dowód1 dać można
"Nie jestem zameldowany w rzeszowie, czy mogę tutaj złożyć wniosek na dowód osobisty.",Ja rzeszów zameldowanie niemieć wniosek dowód2 dać można
"Nie jestem zameldowany w rzeszowie, czy mogę tutaj złożyć wniosek na dowód osobisty.",Ja rzeszów zameldowanie niemieć wniosek dowód1 złożyć można
"Nie jestem zameldowany w rzeszowie, czy mogę tutaj złożyć wniosek na dowód osobisty.",Ja rzeszów zameldowanie niemieć wniosek dowód2 złożyć można
Proszę powtórzyć.,Powtarzać prosić
Proszę powtórzyć.,Prosić powtarzać
Chcę złożyć wniosek o wydanie dowodu osobistego.,Tu zmiana dowód1
Chcę złożyć wniosek o wydanie dowodu osobistego.,Tu zmiana dowód2
Poproszę o wniosek.,Prosić wniosek
Poproszę o wniosek.,Prosić wniosek dowód1
Poproszę o wniosek.,Prosić wniosek dowód2
Poproszę o wniosek.,Dowód1 wniosek prosić
Poproszę o wniosek.,Dowód2 wniosek prosić
Chcę złożyć wniosek o wydanie dowodu osobistego.,Papier wniosek mieć
Chcę złożyć wniosek o wydanie dowodu osobistego.,Przyjść papier wniosek mieć
Czy moje zdjęcie jest dobre?,Zdjęcie dobre
Ile zdjęć potrzeba?,Ile sztuk zdjęcie potrzeba
Jakie zdjęcie jest potrzebne?,Jakie zdjęcie podać potrzeba
Jakie zdjęcie jest potrzebne?,Jakie zdjęcie pokazać potrzeba
Jak długo trzeba czekać?,Jak długo czekać
Jak długo trzeba czekać?,Ile dni czekać
Jak długo trzeba czekać?,Kiedy gotowy dowód1
Jak długo trzeba czekać?,Kiedy gotowy dowód2
Czy muszę sam odebrać dowód?,Musieć ja odebrać dowód1
Czy muszę sam odebrać dowód?,Musieć ja odebrać dowód2
Zgubiłem dowód.,Dowód1 zgubić
Zgubiłem dowód.,Dowód2 zgubić
Zgubiłem dowód.,Zgubić dowód1
Zgubiłem dowód.,Zgubić dowód2
Mam stary dowód.,Stary dowód1 mieć
Mam stary dowód.,Stary dowód2 mieć
Zmieniłem(am) nazwisko.,Nazwisko zmiana1
Zmieniłem(am) nazwisko.,Nazwisko zmiana2
Zmieniłem(am) nazwisko.,Przeniesc inne spać
Zmieniłem(am) nazwisko.,Już ślub
Mam 18 lat.,Już 18 lat
Mam paszport.,Paszport mieć
